Timestamp,Inovace,Představa,Estetika,Produktivita,Motivace,Genialita,Tvořivost,Symbióza,Katalyzátor,Evoluce,Objevitelská_cesta,Experiment,Skulptura,Hybnost,Improvizace,Brainstorming,Diverzita,Empatie,Objektivita,Meditace,Autonomie,Učení,Radost,Umění,Hudba,Příroda,Statečnost,Moudrost,Odraz_vlnění,Spiritualita,Vůdcovství,Filozofie,Naděje,Krása,Mír,Jóga,Cestování,Fotografie,Dobrovolnictví,Vaření,Čtení,Psaní,Humor,Kultura,Vzdělávání,Zdraví,Altruismus,Nezávislost,Filantropie
2019-01-01,1312,1863,1889,994,2467,607,1863,1863,1863,3190,1863,1065,377,4084,123,1417,872,4338,163,1686,2019,1863,491,1863,2599,1863,1863,589,1863,869,1863,191,1863,1863,1863,1863,1863,3324,1863,1863,1863,1863,822,3954,1863,1863,3824,1863,5182
2019-02-01,625,1312,1282,631,1335,441,1312,1312,1312,2646,1312,650,274,2341,79,789,1065,3434,112,1493,1261,1312,363,1312,2123,1312,1312,521,1312,666,1312,145,1312,1312,1312,1312,1312,2601,1312,1312,1312,1312,821,2552,1312,1312,2867,1312,3007
2019-03-01,880,1455,1227,880,1875,566,1455,1455,1455,2788,1455,708,268,2409,85,985,845,3728,145,1513,1388,1455,434,1455,2497,1455,1455,482,1455,795,1455,172,1455,1455,1455,1455,1455,2696,1455,1455,1455,1455,688,3107,1455,1455,3381,1455,3287
2019-04-01,939,1376,1178,737,1816,401,1376,1376,1376,2477,1376,865,230,2221,79,825,837,3103,154,1409,1264,1376,378,1376,2180,1376,1376,479,1376,734,1376,155,1376,1376,1376,1376,1376,2394,1376,1376,1376,1376,669,3019,1376,1376,2387,1376,4851
2019-05-01,1306,1782,1505,922,2492,433,1782,1782,1782,3202,1782,990,286,2880,82,1127,983,3815,150,1786,1675,1782,414,1782,2312,1782,1782,472,1782,727,1782,176,1782,1782,1782,1782,1782,2703,1782,1782,1782,1782,939,3318,1782,1782,7035,1782,4592
2019-06-01,921,1270,1303,688,1477,384,1270,1270,1270,2180,1270,699,224,2544,62,719,1046,3241,108,1259,1159,1270,295,1270,1867,1270,1270,422,1270,593,1270,126,1270,1270,1270,1270,1270,1987,1270,1270,1270,1270,825,2429,1270,1270,3676,1270,2775
2019-07-01,450,971,875,421,770,303,971,971,971,1572,971,475,175,1026,65,458,599,2871,77,1446,772,971,271,971,1108,971,971,480,971,508,971,93,971,971,971,971,971,1535,971,971,971,971,614,1052,971,971,3792,971,3447
2019-08-01,513,1029,939,357,972,370,1029,1029,1029,1809,1029,489,188,989,70,564,527,2880,107,1477,1325,1029,288,1029,1104,1029,1029,457,1029,804,1029,138,1029,1029,1029,1029,1029,1902,1029,1029,1029,1029,614,1280,1029,1029,3085,1029,3501
2019-09-01,777,1400,1873,471,1161,419,1400,1400,1400,3696,1400,842,215,1719,66,933,626,3771,152,1324,1267,1400,362,1400,2466,1400,1400,539,1400,737,1400,125,1400,1400,1400,1400,1400,2758,1400,1400,1400,1400,731,3200,1400,1400,3059,1400,3112
2019-10-01,870,2763,1756,683,1879,583,2763,2763,2763,3514,2763,1011,264,2261,93,1243,888,4257,181,1625,1987,2763,374,2763,2866,2763,2763,646,2763,894,2763,116,2763,2763,2763,2763,2763,2777,2763,2763,2763,2763,986,3722,2763,2763,32699,2763,3674
2019-11-01,1094,1866,1622,737,2795,735,1866,1866,1866,2890,1866,932,278,2937,114,1329,931,4386,210,1670,1746,1866,473,1866,2882,1866,1866,543,1866,994,1866,115,1866,1866,1866,1866,1866,3536,1866,1866,1866,1866,1025,4107,1866,1866,7627,1866,2807
2019-12-01,904,1645,1397,660,2226,462,1645,1645,1645,2555,1645,950,220,2888,103,977,777,4174,155,1529,1441,1645,386,1645,2161,1645,1645,547,1645,764,1645,124,1645,1645,1645,1645,1645,3133,1645,1645,1645,1645,783,3140,1645,1645,7293,1645,3033
2020-01-01,1436,2180,2128,956,3248,636,2180,2180,2180,3407,2180,1257,307,4286,111,1399,1128,5862,218,1997,2009,2180,441,2180,2768,2180,2180,673,2180,894,2180,105,2180,2180,2180,2180,2180,3805,2180,2180,2180,2180,1226,4401,2180,2180,7441,2180,4545
2020-02-01,795,1519,1444,565,1765,476,1519,1519,1519,2576,1519,766,228,2696,90,1058,1349,4472,205,1738,1309,1519,418,1519,2108,1519,1519,580,1519,718,1519,71,1519,1519,1519,1519,1519,2717,1519,1519,1519,1519,1005,2854,1519,1519,4922,1519,2573
