Timestamp,Prietenie,Rudenie,Empatie,Companie,Alianță,Afiliere,Simbioză,Familie,Clan,Căsătorit(ă)_cu,Căsătorie,Comoară,Om,Altruism,Comunitate,Logodnă,Respect,Filantropie,Dragoste,Chimie,Titlu_de_valoare,Comunicare,Grupă,Societate,P12011,Cerc,Sistem,Organizație,Corelație,Congruență,Articulație,Loialitate,Armonia,Reuniune,Solidaritate,Progenitură,Dorință,Desfrânare,Sărut,Cooperare,Bunătate,Funcție_inversă,Siguranță_fuzibilă,Obligațiune,Aranjament_muzical,Compoziție,Asimilație,Consens,Conformitate
2019-01-01,3805,246,4097,859,1897,1897,1897,5013,1897,1897,1897,1897,4747,1490,539,1897,1079,675,3290,3283,399,4761,1897,228,1897,6909,625,1897,1897,1897,1897,96,26,1897,946,1897,1897,1897,1897,364,1897,1897,1897,1897,1897,1897,1897,103,59
2019-02-01,4247,213,3210,619,1595,1595,1595,3820,1595,1595,1595,1595,3405,970,296,1595,1056,464,4072,1939,360,3559,1595,158,1595,6299,420,1595,1595,1595,1595,74,29,1595,1057,1595,1595,1595,1595,307,1595,1595,1595,1595,1595,1595,1595,90,29
2019-03-01,3857,322,5003,713,2055,2055,2055,5090,2055,2055,2055,2055,3811,2070,396,2055,1501,665,4028,2394,437,4071,2055,157,2055,9375,466,2055,2055,2055,2055,108,20,2055,2346,2055,2055,2055,2055,326,2055,2055,2055,2055,2055,2055,2055,95,14
2019-04-01,3374,462,4877,813,1915,1915,1915,4032,1915,1915,1915,1915,3648,1812,412,1915,1122,602,3659,2594,423,3557,1915,145,1915,10114,529,1915,1915,1915,1915,153,21,1915,1241,1915,1915,1915,1915,307,1915,1915,1915,1915,1915,1915,1915,127,17
2019-05-01,4540,558,5283,892,2485,2485,2485,5615,2485,2485,2485,2485,4286,1784,401,2485,1472,692,4088,3972,570,4847,2485,158,2485,14787,658,2485,2485,2485,2485,200,20,2485,1644,2485,2485,2485,2485,523,2485,2485,2485,2485,2485,2485,2485,160,8
2019-06-01,1886,440,3914,769,1628,1628,1628,3066,1628,1628,1628,1628,3131,1040,332,1628,665,555,2380,2034,393,4039,1628,147,1628,10751,539,1628,1628,1628,1628,87,9,1628,787,1628,1628,1628,1628,247,1628,1628,1628,1628,1628,1628,1628,228,10
2019-07-01,1125,400,3665,744,1121,1121,1121,1444,1121,1121,1121,1121,2787,1021,231,1121,433,556,1981,4693,261,1266,1121,143,1121,3820,389,1121,1121,1121,1121,121,16,1121,408,1121,1121,1121,1121,106,1121,1121,1121,1121,1121,1121,1121,152,17
2019-08-01,1110,330,4366,798,1005,1005,1005,1398,1005,1005,1005,1005,2882,934,241,1005,416,586,1948,2220,252,858,1005,134,1005,3598,312,1005,1005,1005,1005,73,21,1005,387,1005,1005,1005,1005,119,1005,1005,1005,1005,1005,1005,1005,107,29
2019-09-01,4051,330,4078,839,2183,2183,2183,3802,2183,2183,2183,2183,5522,1643,369,2183,1063,575,2957,8252,349,7189,2183,160,2183,6796,795,2183,2183,2183,2183,123,21,2183,746,2183,2183,2183,2183,317,2183,2183,2183,2183,2183,2183,2183,221,12
2019-10-01,6757,360,5196,1015,2554,2554,2554,6849,2554,2554,2554,2554,7199,1881,636,2554,1719,707,3466,5659,387,7307,2554,187,2554,6582,1036,2554,2554,2554,2554,142,25,2554,909,2554,2554,2554,2554,439,2554,2554,2554,2554,2554,2554,2554,280,8
