Timestamp,Ystävyys,Sukulaisuus,Empatia,Komppania,Liittouma,Affiliaatio,Symbioosi,Suku,Klaani,Puoliso,Avioliitto,Aarre,Ihminen,Altruismi,Yhteisö,Kihlaus,Kunnioitus,Filantropia,Rakkaus,Kemia,Arvopaperi,Viestintä,Ryhmä,Yhteiskunta,P12011,Ympyrä,Järjestelmä,Organisaatio,Korrelaatio,Yhtenevyys,Nivel,Lojaliteetti,Harmonia,Yhdiste,Solidaarisuus,Jälkeläinen,Halu,Himo,Suuteleminen,Yhteistyö,Kiltteys,Käänteisluku,Sulake,Joukkovelkakirja,Sovitus,Sommittelu,Assimilaatio,Konsensus-päätöksenteko,Konformisuus
2019-01-01,1542,36,2238,3462,1542,1542,1156,191,527,574,3513,174,8036,2585,1542,2777,333,1561,2971,2294,836,1542,1542,2088,1542,1542,1542,1493,3880,291,1932,25,355,1152,1344,1542,126,242,56,1542,1542,1542,3643,1137,51,1281,846,1542,779
2019-02-01,1318,19,2049,1683,1318,1318,1307,155,440,466,2993,209,6860,2132,1318,2424,318,1405,2832,1837,656,1318,1318,1748,1318,1318,1318,1308,3829,274,1857,27,243,1069,1183,1318,103,297,50,1318,1318,1318,3082,885,77,1012,767,1318,538
2019-03-01,1506,24,2140,1765,1506,1506,1179,191,489,529,3386,173,7572,2442,1506,2787,341,1443,3062,2082,665,1506,1506,1879,1506,1506,1506,1507,4797,368,1919,36,335,1299,1834,1506,126,265,63,1506,1506,1506,3473,1266,61,1196,973,1506,1028
2019-04-01,1420,24,1983,1236,1420,1420,1580,172,428,506,2776,185,7237,1835,1420,2247,288,1367,3142,1618,775,1420,1420,1869,1420,1420,1420,1494,6378,241,1539,56,366,939,1841,1420,129,213,67,1420,1420,1420,3529,987,55,1056,799,1420,732
2019-05-01,1340,26,2070,1399,1340,1340,1167,170,406,640,2893,156,7330,1804,1340,2343,336,1501,3477,1606,664,1340,1340,1517,1340,1340,1340,1590,3708,278,1455,25,303,949,1652,1340,148,221,42,1340,1340,1340,3514,1128,59,856,937,1340,539
2019-06-01,992,13,1955,1335,992,992,557,133,355,612,3191,485,5557,1330,992,2880,244,1056,2967,1080,521,992,992,868,992,992,992,922,1712,105,711,23,198,395,953,992,146,229,50,992,992,992,2300,649,31,508,295,992,342
2019-07-01,1045,30,2049,2325,1045,1045,693,169,400,576,3308,223,5685,1266,1045,3248,288,1271,3304,960,528,1045,1045,1015,1045,1045,1045,836,1323,121,768,37,214,452,845,1045,106,271,49,1045,1045,1045,2512,596,53,509,280,1045,271
2019-08-01,1511,20,2675,1614,1511,1511,1906,181,443,697,4352,219,8619,1625,1511,3402,342,1427,3879,2733,649,1511,1511,3235,1511,1511,1511,1522,2321,141,1578,27,345,962,945,1511,111,237,56,1511,1511,1511,3458,838,62,1115,664,1511,495
2019-09-01,1608,54,2824,1342,1608,1608,2267,208,351,679,3673,148,7873,2215,1608,3912,350,1288,3800,1980,696,1608,1608,2400,1608,1608,1608,2149,4150,179,2041,20,356,1298,1139,1608,132,222,45,1608,1608,1608,3885,1122,49,1747,815,1608,883
2019-10-01,1582,13,2673,1547,1582,1582,1533,160,496,634,3120,152,7826,1919,1582,4333,336,1297,3702,2196,722,1582,1582,2258,1582,1582,1582,2622,4279,218,2110,30,293,1614,1195,1582,116,219,41,1582,1582,1582,4037,840,69,1354,816,1582,616
2019-11-01,1561,27,2531,2016,1561,1561,1191,146,418,558,3190,163,7989,2163,1561,3304,314,1248,3862,1958,716,1561,1561,2030,1561,1561,1561,2274,4144,263,1781,54,474,1442,1426,1561,130,279,70,1561,1561,1561,4141,1162,60,1365,913,1561,826
