Timestamp,Venskab,Slægt,Empati,Kompagni,Alliance,Tilknyttet,Symbiose,Slægt,Klan,Ægtefælle,Ægteskab,Skat,Menneske,Altruisme,Fællesskab,Forlovelse,Respekt,Velgørenhed,Kærlighed,Kemi,Værdipapir,Kommunikation,Gruppe,Samfund,P12011,Cirkel,System,Organisation,Korrelation,Kongruens,Led,Loyalitet,Harmoni,Foreningsmængde,Solidaritet,Afkom,Begær,Seksuelt_begær,Kys,Kooperativt_samarbejde,Venlighed,Reciprok,Elektrisk_sikring,Obligation,Arrangement,Billedkomposition,Assimilation,Konsensus,Konformitet
2019-01-01,653,806,1691,111,288,806,854,806,417,806,806,1678,3946,1426,806,715,62,806,806,1223,806,942,174,994,806,1141,502,1073,2025,106.0,60,149,57,806,74,806,806,806,366,806,71,906,546,901,806,1296,834,518,806
2019-02-01,515,642,1353,89,212,642,676,642,309,642,642,1254,3131,1429,642,653,48,642,642,1074,642,728,168,776,642,897,361,794,1345,109.0,34,134,52,642,60,642,642,642,335,642,52,993,447,686,642,781,659,405,642
2019-03-01,630,771,1536,103,259,771,924,771,312,771,771,1519,3435,1471,771,617,70,771,771,1101,771,834,145,844,771,1125,341,863,1430,0.0,43,196,52,771,58,771,771,771,1309,771,65,1082,572,832,771,956,677,512,771
2019-04-01,549,658,1246,91,218,658,959,658,288,658,658,1051,3475,1190,658,684,64,658,658,1020,658,774,147,780,658,917,347,777,1430,0.0,30,140,42,658,52,658,658,658,416,658,40,683,409,594,658,894,660,427,658
2019-05-01,616,704,1502,79,205,704,892,704,259,704,704,1202,3613,882,704,650,38,704,704,1080,704,768,125,1004,704,842,354,943,1766,0.0,29,105,41,704,45,704,704,704,365,704,44,754,463,573,704,1348,827,419,704
2019-06-01,529,633,1191,55,164,633,833,633,330,633,633,1157,2760,785,633,616,25,633,633,1278,633,558,98,697,633,834,322,756,1583,0.0,25,95,43,633,54,633,633,633,318,633,47,719,493,598,633,1611,669,375,633
2019-07-01,413,529,786,68,107,529,475,529,284,529,529,1194,4097,571,529,725,56,529,529,1144,529,389,80,1110,529,499,376,652,507,0.0,8,153,25,529,40,529,529,529,287,529,49,660,358,520,529,207,242,324,529
2019-08-01,406,688,1116,87,236,688,839,688,294,688,688,1380,3988,705,688,750,49,688,688,1750,688,625,106,1560,688,871,423,858,957,0.0,22,146,48,688,25,688,688,688,388,688,49,991,412,849,688,579,409,425,688
2019-09-01,518,688,1423,73,183,688,1184,688,323,688,688,1197,3328,697,688,616,37,688,688,1296,688,864,120,1083,688,1054,426,910,1529,0.0,28,105,39,688,37,688,688,688,299,688,41,966,468,642,688,788,562,486,688
2019-10-01,570,675,1472,79,160,675,971,675,304,675,675,1074,3354,692,675,608,37,675,675,1321,675,728,119,1001,675,1096,495,857,1758,0.0,34,125,37,675,43,675,675,675,653,675,41,781,384,506,675,582,577,457,675
2019-11-01,445,683,1577,79,189,683,926,683,305,683,683,1042,3864,810,683,590,41,683,683,1267,683,748,117,1092,683,1043,391,863,1543,0.0,28,170,55,683,43,683,683,683,414,683,35,827,408,629,683,552,569,521,683
2019-12-01,399,659,1457,98,164,659,763,659,309,659,659,994,3314,1002,659,827,27,659,659,1139,659,593,113,1167,659,815,420,884,1563,0.0,32,137,56,659,31,659,659,659,352,659,34,1004,509,545,659,512,652,518,659
2020-01-01,394,715,1628,84,199,715,909,715,367,715,715,1156,3663,1040,715,680,30,715,715,1209,715,684,126,1039,715,947,512,966,1505,0.0,46,165,38,715,38,715,715,715,313,715,43,893,500,1036,715,626,591,723,715
2020-02-01,476,573,1209,49,184,573,651,573,418,573,573,1083,2869,804,573,615,27,573,573,1055,573,561,133,699,573,1091,408,685,1124,0.0,33,116,47,573,34,573,573,573,285,573,39,767,386,499,573,444,485,496,573
2020-03-01,457,682,1339,76,178,682,1075,682,304,682,682,1240,3225,1011,682,345,30,682,682,1230,682,781,199,833,682,1748,411,715,1265,0.0,36,114,28,682,33,682,682,682,250,682,35,830,605,831,682,923,559,421,682
2020-04-01,409,658,1159,72,202,658,1049,658,379,658,658,1102,3252,999,658,435,37,658,658,1076,658,769,177,906,658,1672,391,695,1445,0.0,40,165,49,658,38,658,658,658,258,658,33,862,482,633,658,741,497,367,658
2020-05-01,433,687,1224,74,221,687,917,687,397,687,687,1240,3539,1300,687,652,39,687,687,1217,687,860,171,778,687,1239,380,732,1695,0.0,51,124,36,687,36,687,687,687,287,687,41,758,563,624,687,744,529,399,687
2020-06-01,412,656,1280,82,532,656,730,656,367,656,656,1118,3293,1253,656,625,56,656,656,1575,656,808,141,604,656,926,336,640,1363,0.0,59,153,51,656,44,656,656,656,286,656,73,1134,497,455,656,566,493,371,656
2020-07-01,402,477,1147,66,145,477,503,477,291,477,477,846,3012,959,477,676,32,477,477,894,477,530,121,412,477,600,272,490,549,0.0,65,133,40,477,29,477,477,477,313,477,44,461,326,448,477,262,301,423,477
